TYPE,COMPOUND,POSITIVE,NEGATIVE,NEUTRAL,SENTENCE
0,0.000000,0.000000,0.000000,1.000000,"Esa es la herencia que nos va a dejar el Frente Amplio después de cinco años de escasez."
0,0.000000,0.000000,0.000000,1.000000,"Los años de bonanza disimularon todo parecía que todo andaba bien."
0,0.000000,0.000000,0.000000,1.000000,"Ahora se ve la realidad tenemos Batlle Planas tenemos más computadoras más celulares más autos y tenemos más votos pero somos una sociedad más crispada más agresiva más violenta más fracturada una sociedad que vive peor."
-3,-0.557400,0.000000,0.247000,0.753000,"Lamentablemente el Frente Amplio es un proyecto político terminado agotado sin ilusión."
-2,-0.296000,0.000000,0.167000,0.833000,"que no tiene capacidad de encarar los desafíos que plantea el porvenir."
0,0.000000,0.000000,0.000000,1.000000,"Por eso es que nacimos a la política para devolverle al Uruguay el futuro."
0,0.000000,0.000000,0.000000,1.000000,"compoundArgentina-Brasil le fue muy mal."
0,0.000000,0.000000,0.000000,1.000000,"en estos últimos años y al Uruguay le fue relativamente mejor."
-4,-0.840200,0.000000,0.275000,0.725000,"si nos comparamos con los peores de la clase no fue peor que a Perú no fue peor que Colombia no fue peor que a Bolivia no fue peor que Paraguay no fue peor que Chile."
-4,-0.840200,0.000000,0.118000,0.882000,"Desde el 2014 cuando el Frente Amplio empezó a tener que administrar la escasez no la abundancia está claro que el Frente Amplio no sabe administrar la escasez solo puede administrar la abundancia repartir lo que no hay y distribuir lo que no hay y que luego no va a haber y estamos hoy pagando las consecuencias con un déficit fiscal enorme que va a terminar siendo una bomba de tiempo para el gobierno que le toque entrar a partir del primero de marzo incluyendo si al Frente Amplio le toca ganar esta elección."
-4,-0.886000,0.000000,0.206000,0.794000,"compoundEn el año 2004 el Uruguay de 2002 a 2004 vivió la peor crisis de su historia como país independiente no por errores de gestión sino porque sufrimos un contagio severo de la aftosa y de una crisis bancaria que heredamos de la Argentina."
0,0.000000,0.000000,0.000000,1.000000,"El doctor Jorge Batlle tuvo que manejar de una manera."
0,0.000000,0.000000,0.000000,1.000000,"reconocida internacionalmente y que dejó al país posicionado para el crecimiento que después obtuvo durante la gestión del Frente Amplio."
-2,-0.296000,0.000000,0.196000,0.804000,"Yo me pregunto si no hubiera estado el ministro Astori."
-3,-0.624900,0.000000,0.060000,0.940000,"el el capitán de la moderación el que inoculó al Frente Amplio contra los delirios kirchneristas y chavistas en dónde estaríamos hoy si el Frente Amplio hubiera tenido que manejar la crisis que manejó el doctor Batlle y hubiéramos hecho caso a lo que el doctor Vázquez pedía en ese momento que era que hiciéramos lo que Argentina que entrábamos en cesación de pagos es muy otro lugar."
-2,-0.296000,0.000000,0.145000,0.855000,"Estaríamos hoy de no haber estado el doctor Batlle conduciendo los destinos del país."
0,0.000000,0.000000,0.000000,1.000000,"compoundLa Patria Grande es política exterior por amistad ideológica."
0,0.000000,0.000000,0.000000,1.000000,"La Patria Grande es un continente unido liderado por el chavismo por el castrismo y los proyectos delirantes de la Unasur Telesur oleoducto Venezuela Caracas etcétera."
0,0.000000,0.000000,0.000000,1.000000,"La Patria Grande es una cárcel grande donde vamos a quedar atrapados."
-3,-0.557400,0.000000,0.340000,0.660000,"sin poder aprovechar las oportunidades que nos brinda."
0,0.000000,0.000000,0.000000,1.000000,"El mundo."
0,0.000000,0.000000,0.000000,1.000000,"La patria grande para nosotros es el mundo."
-2,-0.296000,0.000000,0.084000,0.916000,"Nosotros vamos a hacer lo que hicieron los chilenos en los últimos 30 años con gobiernos socialistas democristianos liberales salieron a la conquista del mundo y no conquistar."
-3,-0.735100,0.000000,0.246000,0.754000,"Chile hoy tiene acceso al 86 por ciento de la economía mundial sin tener que pagar peaje para vender los productos."
0,0.000000,0.000000,0.000000,1.000000,"nosotros tenemos acceso."
0,0.000000,0.000000,0.000000,1.000000,"A 6 por ciento de la economía mundial."
0,0.000000,0.000000,0.000000,1.000000,"Tenemos que pagar peaje para vender nuestros productos a cualquier mercado."
0,0.000000,0.000000,0.000000,1.000000,"y un productor de fruta chileno vive bárbaro y un productor de verduras chileno vive bárbaro y los nuestros se funden."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros vamos a terminar con la diplomacia de coctel."
-3,-0.526700,0.000000,0.068000,0.932000,"Vamos por una diplomacia comercial a la neozelandesa y chilena vamos a tener una gran fuerza de venta desplegada a lo largo y ancho del mundo en oficinas comerciales para colocar productos uruguayos al mundo con trabajo de los uruguayos no mandar uruguayos al mundo porque aquí no encuentran trabajo y vamos por un Mercosur zona de libre comercio ágil y dinámica que nos permita recuperar la soberanía comercial."
0,0.000000,0.000000,0.000000,1.000000,"pero también vamos a terminar con la política exterior de proximidad ideológica de amistad ideológica como la que el Frente Amplio tuvo."
0,0.000000,0.000000,0.000000,1.000000,"para la vida comercial y para la vida diplomática con Cuba y con Venezuela."
0,0.000000,0.000000,0.000000,1.000000,"En fin tu partido Oscar defiende a Venezuela y a Cuba."
0,0.000000,0.000000,0.000000,1.000000,"a pesar de que."
-2,-0.296000,0.000000,0.049000,0.951000,"son lo que son no son democracias diferentes democracias originales democracias pintorescas distintas formas de organizar la vida democrática son dictaduras son dictaduras y la enorme mayoría de los uruguayos piensa exactamente eso pero en el Frente Amplio está prohibido calificar a Venezuela o a Cuba como dictaduras."
2,0.340000,0.194000,0.000000,0.806000,"Yo creo que este hecho nos ha colocado en una situación."
2,0.340000,0.045000,0.000000,0.955000,"que nos ha dado vergüenza a nivel internacional haciendo dos cómplices de una dictadura militar que viola todos los derechos habidos y por haber y alejándonos flagrantemente de lo que han sido las tradiciones uruguayas más queridas por la enorme mayoría de la población que es el respeto por la democracia y por los derechos humanos."
0,0.000000,0.000000,0.000000,1.000000,"compoundOscar."
0,0.000000,0.000000,0.000000,1.000000,"Mirá."
0,0.000000,0.000000,0.000000,1.000000,"el Mercosur."
2,0.340000,0.444000,0.000000,0.556000,"ha sido para nosotros."
0,0.000000,0.000000,0.000000,1.000000,"Un fracaso."
-2,-0.296000,0.000000,0.423000,0.577000,"No lo podemos ir."
0,0.000000,0.000000,0.000000,1.000000,"pero vamos a tener que modificarlo."
0,0.000000,0.000000,0.000000,1.000000,"300 millones de personas a la que les íbamos a poder vender productos."
-3,-0.526700,0.000000,0.206000,0.794000,"No viene nadie para venderle productos a dos países que hoy nos dejan entrar y mañana no nos dejan absolutamente inestables."
0,0.000000,0.000000,0.000000,1.000000,"Los chilenos."
0,0.000000,0.000000,0.000000,1.000000,"Contrario a lo que tú decís."
0,0.000000,0.000000,0.000000,1.000000,"empezaron un proceso de conquista y apertura del mundo en los años 90."
0,0.000000,0.000000,0.000000,1.000000,"Es a partir de allí que se firmaron los grandes tratados."
-3,-0.526700,0.000000,0.084000,0.916000,"Gobierno socialista democristianos liberales siguiendo todos por el mismo trillo por supuesto que haciendo acuerdos graduales con salvaguardias con excepciones para sus productos pero que le permitieron tener a un país chico mercados grandes vender productos uruguayos con trabajo los uruguayos no mandar uruguayos al mundo porque aquí no encuentran trabajo."
-2,-0.296000,0.000000,0.216000,0.784000,"compoundNo puedo estar más de acuerdo contigo Oscar."
-2,-0.296000,0.000000,0.216000,0.784000,"la defensa de la democracia y los derechos humanos no."
0,0.000000,0.000000,0.000000,1.000000,"tiene ningún lente ideológico."
0,0.000000,0.000000,0.000000,1.000000,"tiene que ser."
0,0.000000,0.000000,0.000000,1.000000,"Una política de Estado que cualquier tipo de gobierno uruguayo tiene que llevar adelante."
-3,-0.680800,0.000000,0.117000,0.883000,"A nosotros lo que pasa en Venezuela y no pasa en Cuba nos parece repudiable lo que pasa con los inmigrantes guatemaltecos que son separados de sus hijos en Estados Unidos no parece repudiable como nos parece repudiable todo lo que tú acabas de mencionar y no tendríamos inconveniente alguno en condenarlo con la mayor severidad."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros vamos a tener una política exterior basada en el interés nacional vamos a tener relaciones diplomáticas y comerciales con todos los países cordiales y correctas los asuntos de Defensa de Derechos Humanos de la democracia hay que analizarlos a través de los organismos pertinentes de las Naciones Unidas de la OEA pero siempre en defensa de nuestros valores."
0,0.000000,0.000000,0.000000,1.000000,"compoundNosotros reconocemos el rol social y el rol legítimo que tienen los sindicatos en la protección."
0,0.000000,0.000000,0.000000,1.000000,"Y en la promoción de los derechos de los trabajadores."
-2,-0.296000,0.000000,0.423000,0.577000,"Acá eso no está."
0,0.000000,0.000000,0.000000,1.000000,"en cuestión."
0,0.000000,0.000000,0.000000,1.000000,"esta cuestión tiene que ver con la forma en que se organizan y desde el paradigma en que vemos las relaciones laborales."
0,0.000000,0.000000,0.000000,1.000000,"si son de conflicto de confrontación."
-2,-0.296000,0.000000,0.052000,0.948000,"de lucha de clases donde hay un explotador que es el empresario y un explotado que es el trabajador porque en esa lógica lo que se le quita a uno es lo que obtiene el otro no es así como funciona el mundo."
0,0.000000,0.000000,0.000000,1.000000,"Donde funcionan bien las relaciones laborales."
-2,-0.296000,0.000000,0.047000,0.953000,"Entonces empresarios y trabajadores trabajan de manera cooperativa y eso es lo que nosotros vamos a promover la figura del empresario es fundamental como la del trabajador se complementan y si no miremos el Fondes experimento del Frente Amplio en donde se procuró remover al empresario empresario explotador empresa manejada."
0,0.000000,0.000000,0.000000,1.000000,"Dores la enorme mayoría se funden muchas de ellas ni siquiera pueden empezar a trabajar ni siquiera a funcionar."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros vamos a promover relaciones cooperativas relaciones basadas en la confianza y en la prosperidad compartida."
-2,-0.296000,0.000000,0.180000,0.820000,"Esto es posible si entendemos el concepto de productividad no como."
0,0.000000,0.000000,0.000000,1.000000,"que vamos a exprimir al trabajador para que gane el empresario sino hacer las cosas mejor."
0,0.000000,0.000000,0.000000,1.000000,"Y. de otra forma para que el empresario gane el trabajador gane la sociedad ganamos todos."
0,0.000000,0.000000,0.000000,1.000000,"vamos."
0,0.000000,0.000000,0.000000,1.000000,"a terminar con la ocupación de los lugares de trabajo."
-2,-0.296000,0.000000,0.355000,0.645000,"Esto no es un derecho."
-2,-0.296000,0.000000,0.084000,0.916000,"Cesar las actividades para hacer una huelga es un derecho ocupar una propiedad que no te pertenece y encima impedirme a trabajadores que quieren trabajar el acceso."
-2,-0.296000,0.000000,0.355000,0.645000,"Este no es un derecho."
0,0.000000,0.000000,0.000000,1.000000,"Viola nuestra Constitución."
-2,-0.296000,0.000000,0.109000,0.891000,"Tan es así que el sector público no están permitidas las ocupaciones tan solo permitidas en el sector privado."
0,0.000000,0.000000,0.000000,1.000000,"Los sindicatos tienen un rol social para proteger los derechos de los trabajadores."
-3,-0.700300,0.000000,0.216000,0.784000,"Los sindicatos sin embargo no pueden ni crean empleo más aún ni siquiera tienen la capacidad de proteger los empleos que se pierden."
-2,-0.296000,0.000000,0.109000,0.891000,"Se perdieron 60000 empleos en los últimos cuatro años y no hay nada que los sindicatos pudieran hacer para evitarlo."
0,0.000000,0.000000,0.000000,1.000000,"El único creador de empleo la única persona que crea empleo el único fabricante de empleos es el empresario."
-2,-0.296000,0.000000,0.062000,0.937000,"Tenemos que cuidarlo un poco tenemos que incentivarlo un poco más en estos tiempos en que invertir en Uruguay es algo que hace falta para poder generar empleo y si no vamos por esa vía."
-3,-0.557400,0.000000,0.167000,0.833000,"Si queremos un mundo sin empresarios vamos por la vía de Cuba y Venezuela y ya sabemos de donde eso termina."
0,0.000000,0.000000,0.000000,1.000000,"Por eso te digo la próxima vez que veas un empresario dale un abrazo y decirle muchas gracias por ser como sos."
0,0.000000,0.000000,0.000000,1.000000,"compoundOscar."
0,0.000000,0.000000,0.000000,1.000000,"La huelga existe desde 1934 es un derecho legítimo consagrado por la Constitución de la República."
0,0.000000,0.000000,0.000000,1.000000,"Nadie va a dar marcha atrás con el derecho de huelga yo estoy hablando de la ocupación de los lugares de trabajo que es ilegítima viola los convenios internacionales viola la Constitución de la República el derecho de propiedad la libertad de trabajo."
-3,-0.680800,0.000000,0.231000,0.769000,"O acaso el derecho de los trabajadores que no adhieren a la ocupación y que no pueden entrar a su lugar de trabajo no se protege que son carneros."
-2,-0.296000,0.000000,0.423000,0.577000,"A eso no lo protegemos."
0,0.000000,0.000000,0.000000,1.000000,"Segundo de las cooperativas el régimen cooperativo es un régimen legítimo aceptado en una economía de mercado en el que se organizan propietarios productores trabajadores."
0,0.000000,0.000000,0.000000,1.000000,"Eso poco y nada tiene que ver con empresas comerciales industriales manejadas exclusivamente por trabajadores como la del Fondes que ya vemos cómo terminaron todas fundidas."
0,0.000000,0.000000,0.000000,1.000000,"compoundEl… De vuelta a buscar los derechos de los trabajadores."
-2,-0.296000,0.000000,1.000000,0.000000,"No."
-2,-0.296000,0.000000,0.121000,0.879000,"creo que un batllista no le van a enseñar a ustedes cómo se protegen los derechos de los trabajadores."
1,0.051600,0.111000,0.102000,0.787000,"Creo que lo allí mismo ha sido vanguardia en la protección de los derechos de los trabajadores y no niego."
1,0.051600,0.106000,0.097000,0.796000,"no niego los avances que ha habido durante la gestión del Frente Amplio en proteger ulteriormente algunos de esos derechos."
0,0.000000,0.000000,0.000000,1.000000,"Derechos que vamos a preservar lo que."
0,0.000000,0.000000,0.000000,1.000000,"Oscar son los disparates."
0,0.000000,0.000000,0.000000,1.000000,"Hay 60000 personas que perdieron su empleo."
-2,-0.296000,0.000000,0.180000,0.820000,"Uno de cada cuatro jóvenes hoy quieren trabajar no encuentran trabajo."
-2,-0.296000,0.000000,0.136000,0.864000,"El que perdió su trabajo no lo puede recuperar hay 500 tambos familiares que cerrar."
2,0.340000,0.255000,0.000000,0.745000,"capital productivo que se ha perdido y que terminamos."
0,0.000000,0.000000,0.000000,1.000000,"mandando a los cinturones de pobreza de Montevideo a recoger contenedores."
0,0.000000,0.000000,0.000000,1.000000,"Tenemos que ser razonables hay ciertas cosas que van más allá de lo razonable y que tenemos que rebalancear nada más."
-2,-0.296000,0.000000,0.128000,0.872000,"compoundUn Estado inteligente es un Estado amigo el desarrollo y una poco inteligente no lo es."
-2,-0.296000,0.000000,0.216000,0.784000,"No hay contraposición entre Estado y mercado se necesitan mutuamente."
0,0.000000,0.000000,0.000000,1.000000,"Acá de lo que estamos hablando es de este estado aquí y ahora el Estado que administra el Frente Amplio."
0,0.000000,0.000000,0.000000,1.000000,"y lo primero que tenemos es un Estado."
0,0.000000,0.000000,0.000000,1.000000,"que nos cobra mucho y que nos da poco en cantidad y en calidad a cambio nos cobra impuestos finlandeses y nos da servicio latinoamericano."
2,0.340000,0.156000,0.000000,0.844000,"Es un Estado que ha hecho un uso político escandaloso de los recursos públicos."
0,0.000000,0.000000,0.000000,1.000000,"Déjeme darle algún ejemplo miren."
0,0.000000,0.000000,0.000000,1.000000,"esto es el empleo público."
0,0.000000,0.000000,0.000000,1.000000,"esto es lo que creció el empleo público 70.000 vínculo laboral durante la gestión del Frente Amplio el esfuerzo que se hizo por tratar de reacondicionar la fuerza de trabajo del sector público aumentado de manera."
0,0.000000,0.000000,0.000000,1.000000,"enorme."
0,0.000000,0.000000,0.000000,1.000000,"y que obtuvimos a cambio mejor salud mejor educación."
0,0.000000,0.000000,0.000000,1.000000,"mejor seguridad."
-2,-0.296000,0.000000,0.104000,0.896000,"Creo que lo que obtuvimos es un choclo que ahora no sabemos cómo hacemos para financiar las empresas del Estado."
0,0.000000,0.000000,0.000000,1.000000,"han estado a sus anchas cómodamente haciendo de las suyas."
0,0.000000,0.000000,0.000000,1.000000,"Un ejemplo la desulfurizadora la planta de combustible para producir bajo contenido de azufre se presupuestó en 90 millones de dólares terminó costando 420 unidades cinco veces más."
0,0.000000,0.000000,0.000000,1.000000,"Qué hiciste para que te cueste cinco veces más."
-2,-0.296000,0.000000,0.095000,0.905000,"Nació vieja porque el gasoil lo bajo contenido de azufre no lo puede usar la maquinaria agrícola moderna porque funde los motores."
0,0.000000,0.000000,0.000000,1.000000,"Una planta que nació vieja y que costó cinco veces más."
2,0.476700,0.114000,0.000000,0.886000,"Hicimos una fiesta para inaugurar la que nos costó a los contribuyentes uruguayos 560 mil dólares nada más ni nada menos saben cómo se llama esto."
0,0.000000,0.000000,0.000000,1.000000,"Incompetencia."
0,0.000000,0.000000,0.000000,1.000000,"amiguismo."
-3,-0.526700,0.000000,0.097000,0.903000,"acomodo y por esto es que pagamos el gasoil más caro de las Américas 30 por ciento más caro que lo que pagan los chilenos y por eso es que le ponemos una mochila a nuestra producción que no puede competir y no puede generar empleos legítimos."
0,0.000000,0.000000,0.000000,1.000000,"Pero."
-2,-0.296000,0.000000,0.109000,0.891000,"además tenemos un Estado que no tiene una cultura de evaluar sus resultados y el impacto de lo que hace."
0,0.000000,0.000000,0.000000,1.000000,"el Estado uruguayo se sabe muy bien cuánto gasta."
-2,-0.296000,0.000000,0.075000,0.925000,"Se sabe muy bien en qué gasta pero no se sabe qué impacto tiene lo que gasta ni menos aún si el impacto se obtiene a un costo razonable."
-2,-0.296000,0.000000,0.121000,0.879000,"Si no Migré multiplicamos por 12 el presupuesto de la educación ya que estamos penúltimos en graduación."
0,0.000000,0.000000,0.000000,1.000000,"El liceo como hace 15 años seguimos penultima como hace 15 años."
0,0.000000,0.000000,0.000000,1.000000,"Los demás avanzaron pero nosotros avanzamos menos."
0,0.000000,0.000000,0.000000,1.000000,"Este es un estado inaceptable de las cosas una falta de respeto para el contribuyente una sensación de impunidad."
-2,-0.296000,0.000000,0.136000,0.864000,"El Estado dueño del poder y de los recursos de los contribuyentes que no puede seguir."
0,0.000000,0.000000,0.000000,1.000000,"compoundPodés tirar cien números."
-2,-0.296000,0.000000,0.078000,0.922000,"La realidad de educación es la real la que vive la gente la que siente la gente no la que tú le contás con todos esos números."
0,0.000000,0.000000,0.000000,1.000000,"19 de cada 100 terminan el liceo en las periferias urbanas 40 de cada 100 terminan a nivel nacional."
-2,-0.296000,0.000000,0.087000,0.913000,"Una madre de las láminas en Bella Unión o en la cooperativa de vivienda de Maroñas me dice mi hija de esto no sabe leer."
-2,-0.296000,0.000000,0.196000,0.804000,"No preciso en los informes del Instituto de Evaluación Educativa."
0,0.000000,0.000000,0.000000,1.000000,"Esta es la realidad."
0,0.000000,0.000000,0.000000,1.000000,"La educación es hoy un desastre."
-3,-0.700300,0.000000,0.124000,0.876000,"Los molinos de lo que ustedes tanto se jactan son los que ustedes se opusieron cuando el doctor Sanguinetti y el doctor Batlle permitieron que los privados pudieran generar energía eléctrica sin eso si ustedes hubieran salido con la suya no lo hubieran logrado."
0,0.000000,0.000000,0.000000,1.000000,"Y tercero claro que gobiernos colorados blancos intendencias gastaron también en exceso y gastaron mal."
-3,-0.526700,0.000000,0.206000,0.794000,"No nos hacemos cargo somos nuevos en política de los acomodos de vengan de donde vengan no nos importa."
0,0.000000,0.000000,0.000000,1.000000,"compoundOscar las tarifas públicas bajan en todo el mundo porque hay una innovación tecnológica 15 años en mucho tiempo."
0,0.000000,0.000000,0.000000,1.000000,"Lo importante es cómo evolucionan respecto a los países que compiten con nosotros."
0,0.000000,0.000000,0.000000,1.000000,"Lamentablemente tenemos la tarifa más caras de gasoil en el mundo."
-3,-0.526700,0.000000,0.423000,0.577000,"No podemos competir no podemos generar empleos legítimos."
0,0.000000,0.000000,0.000000,1.000000,"El tema de que siempre votamos por la oposición déjame tomarte asunto con el tema de las Fuerzas Armadas."
0,0.000000,0.000000,0.000000,1.000000,"Sabes que nosotros planteamos que queríamos volver a discutir el rol los cometidos el tamaño y el financiamiento de las Fuerzas Armadas porque creemos que el Uruguay se debe."
0,0.000000,0.000000,0.000000,1.000000,"Esa discusión se debe esa discusión para cicatrizar de manera definitiva la herida que se abrió con el golpe de Estado."
0,0.000000,0.000000,0.000000,1.000000,"Así que."
-2,-0.296000,0.000000,0.216000,0.784000,"no queremos heredar la Carta Orgánica que ustedes voten."
0,0.000000,0.000000,0.000000,1.000000,"Queremos tener una propia porque pensamos ser gobierno a partir del primero de marzo por supuesto que esto."
0,0.000000,0.000000,0.000000,1.000000,"El tema de los desaparecidos es lo que el Estado va a tener responsabilidad mientras haya una sola familia que necesite hacer su duelo."
0,0.000000,0.000000,0.000000,1.000000,"compoundVamos a promover."
0,0.000000,0.000000,0.000000,1.000000,"varias iniciativas que habrá que construir."
0,0.000000,0.000000,0.000000,1.000000,"con otros porque el próximo gobierno necesariamente como este va a ser de coalición primero y como dije."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a terminar con la diplomacia de cóctel."
0,0.000000,0.000000,0.000000,1.000000,"Vamos hacia una diplomacia comercial al estilo neozelandesa y chilena."
0,0.000000,0.000000,0.000000,1.000000,"Vamos por un Mercosur zona de libre comercio ágil dinámica que nos permita."
-3,-0.700300,0.000000,0.158000,0.842000,"no sólo mantener las preferencias con Argentina y Brasil sino negociar con terceros países y la entrada de nuestros productos sin pedirle que tenemos que pedir permiso a Argentina Brasil es decir recuperar nuestra soberanía comercial."
0,0.000000,0.000000,0.000000,1.000000,"3."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a terminar con las conductas de gasto público irresponsable."
0,0.000000,0.000000,0.000000,1.000000,"Vamos por una ley de responsabilidad fiscal a la chilena votada en el gobierno de Bachelet para ahorrar en tiempos de vacas gordas."
-3,-0.624900,0.000000,0.065000,0.935000,"Eso le pone límite año a año al gasto que puede hacer el Poder Ejecutivo y en tiempos de vacas flacas nos protege contra los ajustes fiscales contra el atraso cambiario contra la crisis y da previsibilidad vamos a reducir el gasto público con fuerte convicción primero y antes que nada revirtiendo en parte este desaguisado que se cometió en los gobiernos del Frente Amplio."
-2,-0.296000,0.000000,0.078000,0.922000,"Vamos a. no reponer vacantes por los próximos cinco años y al cabo de cinco años vamos a ahorrar 1100 millones de dólares por año para bajar este déficit."
-2,-0.296000,0.000000,0.145000,0.855000,"Comprometiendo la estabilidad del país y que tarde o temprano no va a explotar en la cara."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a ponerle el cascabel al gato a las empresas del Estado."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a crear unidades reguladoras fuertes que le van a fijar los precios precios de competencia precios a los que esta producción puedan competir y crear empleos legítimos y designar en los directorios en las alta gerencia personas competentes capaces experientes en el manejo de organizaciones complejas."
0,0.000000,0.000000,0.000000,1.000000,"que sean."
0,0.000000,0.000000,0.000000,1.000000,"tomadas por concurso de méritos y evaluadas en su gestión."
-2,-0.296000,0.000000,0.068000,0.932000,"Y si no rinden a Dios que te curen horas se terminaron los directorios integrados por políticos se terminaron los indiques y las Carolinas coses nos proponemos ahorrar 1200 millones de dólares por año."
0,0.000000,0.000000,0.000000,1.000000,"Al cabo de cinco años podremos bajar 30 por ciento hoy 20 por ciento de la electricidad y nos van a sobrar 800 millones de dólares para bajar aún más el déficit fiscal."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a soltarle la rienda al campo vamos a poner a andar al arroz."
0,0.000000,0.000000,0.000000,1.000000,"Vamos a poner a andar a la lechería cadenas productivas absolutamente formidable con incentivos parecidos a los que recibe la forestación."
2,0.361200,0.143000,0.000000,0.857000,"Vamos a derogar el decreto que interpreta la ocupación como una extensión natural del derecho de huelga."
0,0.000000,0.000000,0.000000,1.000000,"Vamos por una policía de primer mundo bien entrenada con formación terciaria bien remunerada."
0,0.000000,0.000000,0.000000,1.000000,"que pueda cumplir su tarea con dignidad y que pueda cumplir su tarea con efectividad."
0,0.000000,0.000000,0.000000,1.000000,"Y vamos por una política carcelaria que permita reeducar y reintegrar a aquellos que hoy terminan en una escuela del crimen y salen peor de lo contrario."
0,0.000000,0.000000,0.000000,1.000000,"compoundEl clientelismo lo vamos a terminar venga de donde venga Oscar vamos a cambiar eso."
0,0.000000,0.000000,0.000000,1.000000,"y vamos a hacer algo y eso va a ser un mejor estado."
0,0.000000,0.000000,0.000000,1.000000,"Y vamos a llevar más Estado allí donde se necesita."
0,0.000000,0.000000,0.000000,1.000000,"Tú hablabas de más Estado para los vulnerables."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros vamos a crear una red de 136 liceos públicos modelo."
-3,-0.557400,0.000000,0.104000,0.896000,"que vamos a instalar en todos los cinturones de pobreza que rodean a las ciudades para atender 80000 chiquilines que hoy condenamos a una vida sin futuro simplemente por el barrio en el que nace."
0,0.000000,0.000000,0.000000,1.000000,"Los condenamos a la changa la informalidad la dependencia o al delito sabemos en qué barrio tienen que estar en cada una de las ciudades del país."
0,0.000000,0.000000,0.000000,1.000000,"Sabemos exactamente cuánto nos van a costar 160 millones de dólares por año y sabemos que esto se paga solo en 12 años porque en lugar de dejar los chiquilines a la deriva lo vamos a mandar a la universidad a la UTU a un trabajo digno."
0,0.000000,0.000000,0.000000,1.000000,"Está la inversión social y económica de mayor rentabilidad del país pueda imaginar."
0,0.000000,0.000000,0.000000,1.000000,"compoundA ver Oscar tú dijiste acá dos cosas muy importantes en tu intervención anterior."
0,0.000000,0.000000,0.000000,1.000000,"Hablaste de proteger a los más vulnerables."
0,0.000000,0.000000,0.000000,1.000000,"Nosotros con nuestra red de 136 liceos vamos a intentar hacerlo."
